ID,class,CISP,area_cisp,regiao,hom_doloso,lesao_corp_morte,latrocinio,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,encontro_cadaver,encontro_ossada,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,cump_mandado_prisao,ameaca,pessoas_desaparecidas,hom_por_interv_policial,armas_apreendidas,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade
8878,Ano Comum,88,579,3,1,0,0,2,49,3,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,29,0,0,0,2,6,4,37,3,0,3,0,0,1
8879,Ano Comum,89,10952,3,6,0,0,9,68,2,4,38,0,0,5,0,2,1,12,0,0,0,2,0,0,3,7,0,141,0,2,1,8,17,5,63,2,0,7,0,0,6
8880,Ano Comum,90,5472,3,3,0,0,1,47,0,6,27,0,0,0,0,1,0,12,0,0,0,0,0,0,2,3,0,64,0,1,0,13,23,14,43,5,0,8,0,0,3
8881,Ano Comum,91,13048,3,0,0,0,1,38,1,1,8,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,33,0,0,0,5,10,8,29,3,0,3,0,0,0
8882,Ano Comum,92,4783,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,1,6,0,0,0,0,0,0
8883,Ano Comum,93,1825,3,6,0,0,6,92,5,3,71,0,0,0,0,5,1,21,1,0,0,5,0,0,5,38,0,151,0,2,0,20,25,15,128,3,0,13,0,0,6
8884,Ano Comum,94,5054,3,0,0,0,0,7,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,2,10,1,0,2,0,0,0
8885,Ano Comum,95,5381,3,0,0,0,2,25,0,1,13,1,0,0,0,1,4,0,0,0,0,0,0,0,1,3,0,27,0,1,0,3,1,1,19,1,0,1,0,0,0
8886,Ano Comum,96,608,3,0,0,0,1,19,1,1,7,0,0,2,0,0,0,0,1,0,0,0,0,0,1,3,0,34,0,0,0,5,2,7,11,0,0,4,0,0,0
8887,Ano Comum,97,97,3,1,0,0,0,10,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,5,1,0,1,0,0,1
8888,Ano Comum,98,1329,3,0,0,0,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,7,3,0,2,0,0,0
8889,Ano Comum,99,2451,3,0,0,0,6,11,4,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,5,4,14,0,0,0,0,0,0
8890,Ano Comum,100,3368,3,0,0,0,0,10,0,1,12,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,21,0,0,0,0,2,3,6,0,0,2,0,0,0
8891,Ano Comum,101,765,3,1,0,0,1,14,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,5,8,0,0,0,0,0,1
8892,Ano Comum,104,2204,3,0,0,0,0,4,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,7,0,0,5,0,0,0
8893,Ano Comum,105,3147,3,1,0,0,3,58,2,2,27,1,0,3,1,0,2,4,0,0,0,0,0,0,5,13,0,89,0,2,0,40,8,13,21,0,0,3,0,0,1
8894,Ano Comum,106,4811,3,1,0,0,1,27,0,2,8,0,0,0,0,2,1,0,0,0,0,1,0,0,0,5,0,40,0,0,0,2,0,4,18,0,0,1,0,0,1
8895,Ano Comum,107,5805,3,0,0,0,1,30,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,3,4,13,1,0,5,0,0,0
8896,Ano Comum,108,5439,3,0,0,0,0,44,4,3,22,1,0,0,1,1,1,3,0,0,0,1,0,0,0,2,0,44,0,0,0,6,11,5,39,3,0,3,0,0,0
8897,Ano Comum,109,5417,3,0,0,0,0,6,1,1,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,2,1,13,0,0,0,0,0,0
8898,Ano Comum,110,7706,3,1,0,0,0,71,4,0,28,0,0,2,1,3,0,6,1,0,0,2,0,0,3,3,0,99,0,1,0,15,9,7,66,5,0,8,0,0,1
8899,Ano Comum,111,3955,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,4,0,0,5,0,0,0
8900,Ano Comum,112,3219,3,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,1,7,1,0,0,0,0,0
8901,Ano Comum,118,638,3,4,0,0,2,47,1,1,21,1,0,4,2,5,0,2,1,0,0,1,0,0,2,11,0,78,0,0,0,23,1,14,49,2,0,1,0,0,4
8902,Ano Comum,119,4565,3,1,0,0,0,17,4,2,15,0,0,1,1,2,0,1,1,0,0,1,0,0,1,2,0,22,0,0,0,7,1,4,8,0,0,0,0,0,1
8903,Ano Comum,120,9375,3,0,0,0,3,10,6,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,13,0,0,0,0,1,0,6,0,0,0,0,0,0
8904,Ano Comum,121,4608,3,0,0,0,0,10,1,2,23,0,0,1,2,0,2,0,0,0,0,0,0,0,0,4,0,16,0,0,0,1,2,2,16,0,0,2,0,0,0
8905,Ano Comum,122,3473,3,0,0,0,1,16,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,0,16,1,1,4,0,0,1
8906,Ano Comum,123,12168,3,9,0,1,10,71,8,5,62,0,0,4,5,16,7,30,18,0,0,3,0,0,12,24,0,156,0,0,0,18,12,4,67,6,0,19,1,0,10
8907,Ano Comum,124,3536,3,3,0,0,2,31,3,2,35,3,0,0,1,2,2,2,0,0,0,0,0,0,2,6,0,38,0,0,0,9,6,2,30,1,0,8,0,0,3
8908,Ano Comum,125,3328,3,1,0,0,1,38,2,3,13,0,0,7,1,2,0,9,0,0,0,0,0,0,2,4,0,48,0,1,0,8,5,10,27,1,0,8,0,0,1
8909,Ano Comum,126,5707,3,10,0,1,8,106,5,1,53,1,1,8,3,7,0,23,2,0,0,8,0,0,8,20,0,173,0,1,0,15,29,11,106,10,0,9,0,0,11
8910,Ano Comum,127,703,3,2,0,0,0,27,1,0,16,0,0,0,2,0,0,3,0,0,0,0,0,0,2,3,0,41,0,1,0,12,5,1,26,2,0,4,0,0,2
8911,Ano Comum,128,229,3,2,0,0,1,47,2,1,46,0,0,0,2,8,1,14,0,0,0,0,0,0,2,17,0,118,0,1,0,12,11,2,59,4,0,3,0,0,2
8912,Ano Comum,129,519,3,0,0,0,1,7,2,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,18,0,0,0,0,2,1,11,0,0,1,0,0,0
8913,Ano Comum,130,1021,3,0,0,0,0,20,4,1,11,2,0,1,0,3,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,2,13,1,0,2,0,0,0
8914,Ano Comum,134,2665,3,13,0,1,6,78,7,8,91,2,0,9,4,6,2,67,0,0,0,1,0,0,9,29,0,202,0,1,0,21,24,11,91,1,0,15,0,0,14
8915,Ano Comum,135,4313,3,0,0,0,0,12,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,2,7,0,0,5,0,0,0
8916,Ano Comum,136,698,3,0,0,0,0,26,0,2,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,26,0,0,0,2,6,3,10,1,0,3,0,0,0
8917,Ano Comum,137,3045,3,0,0,0,0,15,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,3,8,10,9,0,0,1,0,0,0
8918,Ano Comum,138,250,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0
8919,Ano Comum,139,302,3,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,6,3,11,0,0,0,0,0,0
8920,Ano Comum,140,5768,3,0,0,0,1,10,2,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,1,0,2,4,1,0,0,0,0,0
